date,hour,kWh_amount
01/12/2021,00:00:00,1287.0
01/12/2021,00:30:00,1217.0
01/12/2021,01:00:00,1216.0
01/12/2021,01:30:00,1212.0
01/12/2021,02:00:00,1206.0
01/12/2021,02:30:00,1212.0
01/12/2021,03:00:00,1214.0
01/12/2021,03:30:00,1216.0
01/12/2021,04:00:00,1218.0
01/12/2021,04:30:00,1214.0
01/12/2021,05:00:00,1216.0
01/12/2021,05:30:00,1222.0
01/12/2021,06:00:00,1224.0
01/12/2021,06:30:00,1218.0
01/12/2021,07:00:00,1218.0
01/12/2021,07:30:00,1245.0
01/12/2021,08:00:00,1280.0
01/12/2021,08:30:00,1230.0
01/12/2021,09:00:00,1246.0
01/12/2021,09:30:00,1274.0
01/12/2021,10:00:00,1248.0
01/12/2021,10:30:00,1249.0
01/12/2021,11:00:00,1193.0
01/12/2021,11:30:00,1196.0
01/12/2021,12:00:00,1193.0
01/12/2021,12:30:00,1183.0
01/12/2021,13:00:00,1192.0
01/12/2021,13:30:00,1194.0
01/12/2021,14:00:00,1200.0
01/12/2021,14:30:00,1201.0
01/12/2021,15:00:00,1193.0
01/12/2021,15:30:00,1257.0
01/12/2021,16:00:00,1269.0
01/12/2021,16:30:00,1218.0
01/12/2021,17:00:00,1235.0
01/12/2021,17:30:00,1287.0
01/12/2021,18:00:00,1266.0
01/12/2021,18:30:00,1285.0
01/12/2021,19:00:00,1270.0
01/12/2021,19:30:00,1239.0
01/12/2021,20:00:00,1094.0
01/12/2021,20:30:00,801.0
01/12/2021,21:00:00,915.0
01/12/2021,21:30:00,1203.0
01/12/2021,22:00:00,1139.0
01/12/2021,22:30:00,144.0
01/12/2021,23:00:00,478.0
01/12/2021,23:30:00,1006.0
02/12/2021,00:00:00,826.0
02/12/2021,00:30:00,1050.0
02/12/2021,01:00:00,782.0
02/12/2021,01:30:00,461.0
02/12/2021,02:00:00,45.0
02/12/2021,02:30:00,42.0
02/12/2021,03:00:00,42.0
02/12/2021,03:30:00,42.0
02/12/2021,04:00:00,41.0
02/12/2021,04:30:00,42.0
02/12/2021,05:00:00,42.0
02/12/2021,05:30:00,43.0
02/12/2021,06:00:00,46.0
02/12/2021,06:30:00,473.0
02/12/2021,07:00:00,958.0
02/12/2021,07:30:00,1133.0
02/12/2021,08:00:00,1035.0
02/12/2021,08:30:00,1178.0
02/12/2021,09:00:00,1265.0
02/12/2021,09:30:00,1269.0
02/12/2021,10:00:00,741.0
02/12/2021,10:30:00,1024.0
02/12/2021,11:00:00,947.0
02/12/2021,11:30:00,1100.0
02/12/2021,12:00:00,1174.0
02/12/2021,12:30:00,1220.0
02/12/2021,13:00:00,1261.0
02/12/2021,13:30:00,1259.0
02/12/2021,14:00:00,1198.0
02/12/2021,14:30:00,1192.0
02/12/2021,15:00:00,1188.0
02/12/2021,15:30:00,1199.0
02/12/2021,16:00:00,1266.0
02/12/2021,16:30:00,1253.0
02/12/2021,17:00:00,1211.0
02/12/2021,17:30:00,1211.0
02/12/2021,18:00:00,1207.0
02/12/2021,18:30:00,1212.0
02/12/2021,19:00:00,1252.0
02/12/2021,19:30:00,1286.0
02/12/2021,20:00:00,1284.0
02/12/2021,20:30:00,1264.0
02/12/2021,21:00:00,1275.0
02/12/2021,21:30:00,1233.0
02/12/2021,22:00:00,1278.0
02/12/2021,22:30:00,1237.0
02/12/2021,23:00:00,1282.0
02/12/2021,23:30:00,1298.0
03/12/2021,00:00:00,1297.0
03/12/2021,00:30:00,1253.0
03/12/2021,01:00:00,1234.0
03/12/2021,01:30:00,1227.0
03/12/2021,02:00:00,1226.0
03/12/2021,02:30:00,1230.0
03/12/2021,03:00:00,1235.0
