date,hour,kWh_amount
01/01/2021,00:00:00,309.2
01/01/2021,00:30:00,283.26
01/01/2021,01:00:00,280.26
01/01/2021,01:30:00,263.42
01/01/2021,02:00:00,247.6
01/01/2021,02:30:00,229.42
01/01/2021,03:00:00,236.34
01/01/2021,03:30:00,247.58
01/01/2021,04:00:00,256.72
01/01/2021,04:30:00,258.64
01/01/2021,05:00:00,273.8
01/01/2021,05:30:00,273.12
01/01/2021,06:00:00,278.66
01/01/2021,06:30:00,267.26
01/01/2021,07:00:00,323.08
01/01/2021,07:30:00,334.44
01/01/2021,08:00:00,322.16
01/01/2021,08:30:00,291.12
01/01/2021,09:00:00,266.36
01/01/2021,09:30:00,239.66
01/01/2021,10:00:00,221.5
01/01/2021,10:30:00,196.62
01/01/2021,11:00:00,169.82
01/01/2021,11:30:00,172.88
01/01/2021,12:00:00,164.6
01/01/2021,12:30:00,168.36
01/01/2021,13:00:00,191.56
01/01/2021,13:30:00,209.0
01/01/2021,14:00:00,211.64
01/01/2021,14:30:00,250.98
01/01/2021,15:00:00,302.4
01/01/2021,15:30:00,333.9
01/01/2021,16:00:00,372.84
01/01/2021,16:30:00,433.76
01/01/2021,17:00:00,508.1
01/01/2021,17:30:00,524.84
01/01/2021,18:00:00,547.62
01/01/2021,18:30:00,541.08
01/01/2021,19:00:00,474.86
01/01/2021,19:30:00,465.68
01/01/2021,20:00:00,436.56
01/01/2021,20:30:00,436.3
01/01/2021,21:00:00,422.1
01/01/2021,21:30:00,399.4
01/01/2021,22:00:00,388.52
01/01/2021,22:30:00,381.26
01/01/2021,23:00:00,342.5
01/01/2021,23:30:00,331.06
02/01/2021,00:00:00,317.7
02/01/2021,00:30:00,303.46
02/01/2021,01:00:00,292.92
02/01/2021,01:30:00,271.58
02/01/2021,02:00:00,238.74
02/01/2021,02:30:00,217.1
02/01/2021,03:00:00,220.04
02/01/2021,03:30:00,233.6
02/01/2021,04:00:00,244.46
02/01/2021,04:30:00,248.62
02/01/2021,05:00:00,270.14
02/01/2021,05:30:00,277.74
02/01/2021,06:00:00,280.26
02/01/2021,06:30:00,269.72
02/01/2021,07:00:00,289.56
02/01/2021,07:30:00,282.5
02/01/2021,08:00:00,287.86
02/01/2021,08:30:00,268.6
02/01/2021,09:00:00,287.64
02/01/2021,09:30:00,223.04
02/01/2021,10:00:00,210.24
02/01/2021,10:30:00,231.9
02/01/2021,11:00:00,220.92
02/01/2021,11:30:00,272.94
02/01/2021,12:00:00,229.94
02/01/2021,12:30:00,210.06
02/01/2021,13:00:00,221.84
02/01/2021,13:30:00,205.82
02/01/2021,14:00:00,233.6
02/01/2021,14:30:00,267.52
02/01/2021,15:00:00,282.02
02/01/2021,15:30:00,326.46
02/01/2021,16:00:00,372.48
02/01/2021,16:30:00,426.0
02/01/2021,17:00:00,477.06
02/01/2021,17:30:00,506.34
02/01/2021,18:00:00,508.48
02/01/2021,18:30:00,514.46
02/01/2021,19:00:00,476.82
02/01/2021,19:30:00,464.76
02/01/2021,20:00:00,477.7
02/01/2021,20:30:00,440.92
02/01/2021,21:00:00,428.56
02/01/2021,21:30:00,421.18
02/01/2021,22:00:00,392.14
02/01/2021,22:30:00,364.78
02/01/2021,23:00:00,344.84
02/01/2021,23:30:00,311.82
03/01/2021,00:00:00,297.38
03/01/2021,00:30:00,269.72
03/01/2021,01:00:00,261.94
03/01/2021,01:30:00,247.34
03/01/2021,02:00:00,225.9
03/01/2021,02:30:00,202.8
03/01/2021,03:00:00,206.12
03/01/2021,03:30:00,209.16
03/01/2021,04:00:00,227.72
03/01/2021,04:30:00,239.54
03/01/2021,05:00:00,264.6
03/01/2021,05:30:00,273.7
03/01/2021,06:00:00,285.02
03/01/2021,06:30:00,307.12
03/01/2021,07:00:00,375.66
03/01/2021,07:30:00,338.38
03/01/2021,08:00:00,308.68
03/01/2021,08:30:00,312.5
03/01/2021,09:00:00,270.32
03/01/2021,09:30:00,238.18
03/01/2021,10:00:00,227.58
03/01/2021,10:30:00,177.36
03/01/2021,11:00:00,201.56
03/01/2021,11:30:00,196.06
03/01/2021,12:00:00,209.92
03/01/2021,12:30:00,224.06
03/01/2021,13:00:00,243.0
03/01/2021,13:30:00,266.2
03/01/2021,14:00:00,269.0
03/01/2021,14:30:00,306.68
03/01/2021,15:00:00,322.34
03/01/2021,15:30:00,360.98
03/01/2021,16:00:00,376.46
03/01/2021,16:30:00,416.3
03/01/2021,17:00:00,451.92
03/01/2021,17:30:00,475.5
03/01/2021,18:00:00,482.94
03/01/2021,18:30:00,492.52
03/01/2021,19:00:00,485.3
03/01/2021,19:30:00,485.16
03/01/2021,20:00:00,480.5
03/01/2021,20:30:00,470.12
03/01/2021,21:00:00,447.44
03/01/2021,21:30:00,431.4
03/01/2021,22:00:00,405.98
03/01/2021,22:30:00,378.2
03/01/2021,23:00:00,346.56
03/01/2021,23:30:00,308.74
04/01/2021,00:00:00,289.58
04/01/2021,00:30:00,281.76
04/01/2021,01:00:00,275.48
04/01/2021,01:30:00,263.16
04/01/2021,02:00:00,229.08
04/01/2021,02:30:00,209.04
04/01/2021,03:00:00,209.16
04/01/2021,03:30:00,213.96
04/01/2021,04:00:00,232.66
04/01/2021,04:30:00,249.34
04/01/2021,05:00:00,274.06
04/01/2021,05:30:00,282.84
04/01/2021,06:00:00,296.94
04/01/2021,06:30:00,303.28
04/01/2021,07:00:00,355.88
04/01/2021,07:30:00,354.96
04/01/2021,08:00:00,343.96
04/01/2021,08:30:00,312.74
04/01/2021,09:00:00,279.08
04/01/2021,09:30:00,244.46
04/01/2021,10:00:00,239.3
04/01/2021,10:30:00,221.0
04/01/2021,11:00:00,225.64
04/01/2021,11:30:00,341.78
04/01/2021,12:00:00,337.18
04/01/2021,12:30:00,361.24
04/01/2021,13:00:00,360.62
04/01/2021,13:30:00,377.82
04/01/2021,14:00:00,380.36
04/01/2021,14:30:00,384.7
04/01/2021,15:00:00,380.2
04/01/2021,15:30:00,374.42
04/01/2021,16:00:00,400.7
04/01/2021,16:30:00,442.3
04/01/2021,17:00:00,484.44
04/01/2021,17:30:00,499.28
04/01/2021,18:00:00,509.44
04/01/2021,18:30:00,493.34
04/01/2021,19:00:00,460.6
04/01/2021,19:30:00,463.9
04/01/2021,20:00:00,487.8
04/01/2021,20:30:00,455.78
04/01/2021,21:00:00,431.0
04/01/2021,21:30:00,407.92
04/01/2021,22:00:00,387.66
04/01/2021,22:30:00,381.34
04/01/2021,23:00:00,361.9
04/01/2021,23:30:00,327.2
05/01/2021,00:00:00,304.62
05/01/2021,00:30:00,287.82
05/01/2021,01:00:00,276.32
05/01/2021,01:30:00,260.68
05/01/2021,02:00:00,229.3
05/01/2021,02:30:00,203.24
05/01/2021,03:00:00,213.06
05/01/2021,03:30:00,217.42
05/01/2021,04:00:00,235.94
05/01/2021,04:30:00,253.0
05/01/2021,05:00:00,277.9
05/01/2021,05:30:00,290.34
05/01/2021,06:00:00,295.9
05/01/2021,06:30:00,319.16
05/01/2021,07:00:00,375.08
05/01/2021,07:30:00,363.22
05/01/2021,08:00:00,374.74
05/01/2021,08:30:00,357.38
05/01/2021,09:00:00,342.44
05/01/2021,09:30:00,332.14
05/01/2021,10:00:00,332.88
05/01/2021,10:30:00,323.88
05/01/2021,11:00:00,332.0
05/01/2021,11:30:00,330.68
05/01/2021,12:00:00,227.68
05/01/2021,12:30:00,287.68
05/01/2021,13:00:00,318.56
05/01/2021,13:30:00,280.4
05/01/2021,14:00:00,262.04
05/01/2021,14:30:00,279.46
05/01/2021,15:00:00,308.34
05/01/2021,15:30:00,337.14
05/01/2021,16:00:00,360.24
05/01/2021,16:30:00,410.46
05/01/2021,17:00:00,444.82
05/01/2021,17:30:00,484.02
05/01/2021,18:00:00,487.7
05/01/2021,18:30:00,492.44
05/01/2021,19:00:00,469.92
05/01/2021,19:30:00,484.68
05/01/2021,20:00:00,489.76
05/01/2021,20:30:00,458.4
05/01/2021,21:00:00,436.06
05/01/2021,21:30:00,415.7
05/01/2021,22:00:00,393.64
05/01/2021,22:30:00,379.7
05/01/2021,23:00:00,337.46
05/01/2021,23:30:00,308.88
06/01/2021,00:00:00,291.16
06/01/2021,00:30:00,272.12
06/01/2021,01:00:00,258.92
06/01/2021,01:30:00,251.36
06/01/2021,02:00:00,228.42
06/01/2021,02:30:00,215.2
06/01/2021,03:00:00,219.44
06/01/2021,03:30:00,223.88
06/01/2021,04:00:00,243.32
06/01/2021,04:30:00,253.32
06/01/2021,05:00:00,276.72
06/01/2021,05:30:00,286.16
06/01/2021,06:00:00,283.32
06/01/2021,06:30:00,311.7
06/01/2021,07:00:00,363.5
06/01/2021,07:30:00,342.48
06/01/2021,08:00:00,327.98
06/01/2021,08:30:00,302.9
06/01/2021,09:00:00,277.24
06/01/2021,09:30:00,264.36
06/01/2021,10:00:00,224.76
06/01/2021,10:30:00,216.98
06/01/2021,11:00:00,234.88
06/01/2021,11:30:00,243.2
06/01/2021,12:00:00,270.48
06/01/2021,12:30:00,247.28
06/01/2021,13:00:00,280.54
06/01/2021,13:30:00,340.76
06/01/2021,14:00:00,275.48
06/01/2021,14:30:00,291.5
06/01/2021,15:00:00,341.92
06/01/2021,15:30:00,365.2
06/01/2021,16:00:00,383.74
06/01/2021,16:30:00,435.4
06/01/2021,17:00:00,475.94
06/01/2021,17:30:00,491.26
06/01/2021,18:00:00,515.9
06/01/2021,18:30:00,529.62
06/01/2021,19:00:00,484.8
06/01/2021,19:30:00,452.18
06/01/2021,20:00:00,465.66
06/01/2021,20:30:00,458.6
06/01/2021,21:00:00,448.32
06/01/2021,21:30:00,427.36
06/01/2021,22:00:00,404.6
06/01/2021,22:30:00,376.76
06/01/2021,23:00:00,353.8
06/01/2021,23:30:00,327.72
07/01/2021,00:00:00,294.42
07/01/2021,00:30:00,282.32
07/01/2021,01:00:00,273.12
07/01/2021,01:30:00,257.34
07/01/2021,02:00:00,227.58
07/01/2021,02:30:00,199.26
07/01/2021,03:00:00,207.96
07/01/2021,03:30:00,214.98
07/01/2021,04:00:00,226.04
07/01/2021,04:30:00,243.18
07/01/2021,05:00:00,267.12
07/01/2021,05:30:00,275.74
07/01/2021,06:00:00,286.98
07/01/2021,06:30:00,280.06
07/01/2021,07:00:00,321.08
07/01/2021,07:30:00,326.4
07/01/2021,08:00:00,341.02
07/01/2021,08:30:00,324.96
07/01/2021,09:00:00,290.78
07/01/2021,09:30:00,245.12
07/01/2021,10:00:00,234.18
07/01/2021,10:30:00,214.8
07/01/2021,11:00:00,211.6
07/01/2021,11:30:00,180.56
07/01/2021,12:00:00,184.96
07/01/2021,12:30:00,209.88
07/01/2021,13:00:00,216.5
07/01/2021,13:30:00,222.28
07/01/2021,14:00:00,243.72
07/01/2021,14:30:00,274.98
07/01/2021,15:00:00,294.46
07/01/2021,15:30:00,349.18
07/01/2021,16:00:00,368.86
07/01/2021,16:30:00,414.78
07/01/2021,17:00:00,457.16
07/01/2021,17:30:00,454.7
07/01/2021,18:00:00,483.44
07/01/2021,18:30:00,487.54
07/01/2021,19:00:00,445.62
07/01/2021,19:30:00,442.92
07/01/2021,20:00:00,436.82
07/01/2021,20:30:00,432.48
07/01/2021,21:00:00,411.62
07/01/2021,21:30:00,398.64
07/01/2021,22:00:00,386.04
07/01/2021,22:30:00,366.82
07/01/2021,23:00:00,342.54
07/01/2021,23:30:00,317.5
08/01/2021,00:00:00,295.92
08/01/2021,00:30:00,279.36
08/01/2021,01:00:00,258.14
08/01/2021,01:30:00,254.88
08/01/2021,02:00:00,225.36
08/01/2021,02:30:00,202.08
08/01/2021,03:00:00,203.94
08/01/2021,03:30:00,207.38
08/01/2021,04:00:00,216.08
08/01/2021,04:30:00,229.86
08/01/2021,05:00:00,248.58
08/01/2021,05:30:00,258.98
08/01/2021,06:00:00,266.94
08/01/2021,06:30:00,257.72
08/01/2021,07:00:00,294.48
08/01/2021,07:30:00,278.8
08/01/2021,08:00:00,279.16
08/01/2021,08:30:00,278.36
08/01/2021,09:00:00,228.8
08/01/2021,09:30:00,206.68
08/01/2021,10:00:00,181.7
08/01/2021,10:30:00,176.48
08/01/2021,11:00:00,183.82
08/01/2021,11:30:00,198.22
08/01/2021,12:00:00,209.48
08/01/2021,12:30:00,199.0
08/01/2021,13:00:00,215.8
08/01/2021,13:30:00,251.02
08/01/2021,14:00:00,275.12
08/01/2021,14:30:00,288.82
08/01/2021,15:00:00,328.7
08/01/2021,15:30:00,367.76
08/01/2021,16:00:00,405.22
08/01/2021,16:30:00,462.4
08/01/2021,17:00:00,524.06
08/01/2021,17:30:00,548.6
08/01/2021,18:00:00,553.16
08/01/2021,18:30:00,544.96
08/01/2021,19:00:00,463.84
08/01/2021,19:30:00,432.2
08/01/2021,20:00:00,432.68
08/01/2021,20:30:00,424.32
08/01/2021,21:00:00,399.16
08/01/2021,21:30:00,390.46
08/01/2021,22:00:00,381.4
08/01/2021,22:30:00,376.44
08/01/2021,23:00:00,338.62
08/01/2021,23:30:00,311.1
09/01/2021,00:00:00,286.8
09/01/2021,00:30:00,281.2
09/01/2021,01:00:00,275.1
09/01/2021,01:30:00,258.74
09/01/2021,02:00:00,220.06
09/01/2021,02:30:00,197.4
09/01/2021,03:00:00,200.44
09/01/2021,03:30:00,204.82
09/01/2021,04:00:00,219.14
09/01/2021,04:30:00,227.02
09/01/2021,05:00:00,254.1
09/01/2021,05:30:00,257.68
09/01/2021,06:00:00,264.86
09/01/2021,06:30:00,257.94
09/01/2021,07:00:00,304.5
09/01/2021,07:30:00,292.28
09/01/2021,08:00:00,278.9
09/01/2021,08:30:00,274.04
09/01/2021,09:00:00,235.92
09/01/2021,09:30:00,224.58
09/01/2021,10:00:00,207.0
09/01/2021,10:30:00,197.68
09/01/2021,11:00:00,197.18
09/01/2021,11:30:00,192.82
09/01/2021,12:00:00,185.0
09/01/2021,12:30:00,185.86
09/01/2021,13:00:00,220.38
09/01/2021,13:30:00,219.3
09/01/2021,14:00:00,245.58
09/01/2021,14:30:00,264.6
09/01/2021,15:00:00,289.98
09/01/2021,15:30:00,336.96
09/01/2021,16:00:00,381.44
09/01/2021,16:30:00,440.26
09/01/2021,17:00:00,491.24
09/01/2021,17:30:00,512.56
09/01/2021,18:00:00,530.76
09/01/2021,18:30:00,522.42
09/01/2021,19:00:00,468.54
09/01/2021,19:30:00,466.02
09/01/2021,20:00:00,447.34
09/01/2021,20:30:00,446.2
09/01/2021,21:00:00,420.66
09/01/2021,21:30:00,408.38
09/01/2021,22:00:00,391.52
09/01/2021,22:30:00,372.32
09/01/2021,23:00:00,344.4
09/01/2021,23:30:00,324.22
10/01/2021,00:00:00,295.8
10/01/2021,00:30:00,280.64
10/01/2021,01:00:00,264.84
10/01/2021,01:30:00,252.7
10/01/2021,02:00:00,222.56
10/01/2021,02:30:00,206.4
10/01/2021,03:00:00,201.88
10/01/2021,03:30:00,203.88
10/01/2021,04:00:00,218.64
