date,hour,kWh_amount
01/01/2021,00:00,128.7
01/01/2021,00:30,129.03
01/01/2021,01:00,122.06
01/01/2021,01:30,119.22
01/01/2021,02:00,117.3
01/01/2021,02:30,120.28999999999999
01/01/2021,03:00,123.72999999999999
01/01/2021,03:30,132.19
01/01/2021,04:00,129.36
01/01/2021,04:30,136.75
01/01/2021,05:00,138.07999999999998
01/01/2021,05:30,134.85000000000002
01/01/2021,06:00,125.96000000000001
01/01/2021,06:30,103.02
01/01/2021,07:00,116.72
01/01/2021,07:30,118.69999999999999
01/01/2021,08:00,126.94
01/01/2021,08:30,132.79000000000002
01/01/2021,09:00,156.32999999999998
01/01/2021,09:30,179.78
01/01/2021,10:00,197.5
01/01/2021,10:30,207.56
01/01/2021,11:00,212.8
01/01/2021,11:30,215.91000000000003
01/01/2021,12:00,211.27999999999997
01/01/2021,12:30,201.21
01/01/2021,13:00,184.68
01/01/2021,13:30,167.68
01/01/2021,14:00,152.35
01/01/2021,14:30,136.10000000000002
01/01/2021,15:00,134.07
01/01/2021,15:30,134.26999999999998
01/01/2021,16:00,131.45999999999998
01/01/2021,16:30,137.03
01/01/2021,17:00,160.45
01/01/2021,17:30,167.58999999999997
01/01/2021,18:00,173.11
01/01/2021,18:30,169.65
01/01/2021,19:00,166.61
01/01/2021,19:30,165.66
01/01/2021,20:00,169.53
01/01/2021,20:30,173.72
01/01/2021,21:00,169.21
01/01/2021,21:30,156.94
01/01/2021,22:00,147.34
01/01/2021,22:30,139.32
01/01/2021,23:00,132.14
01/01/2021,23:30,128.6
02/01/2021,00:00,128.47
02/01/2021,00:30,121.57
02/01/2021,01:00,121.16
02/01/2021,01:30,118.6
02/01/2021,02:00,120.53999999999999
02/01/2021,02:30,126.29
02/01/2021,03:00,123.21000000000001
02/01/2021,03:30,128.35
02/01/2021,04:00,129.69
02/01/2021,04:30,135.49
02/01/2021,05:00,137.01
02/01/2021,05:30,133.20999999999998
02/01/2021,06:00,135.45
02/01/2021,06:30,119.64
02/01/2021,07:00,107.78
02/01/2021,07:30,118.72
02/01/2021,08:00,114.32
02/01/2021,08:30,124.46
02/01/2021,09:00,131.43
02/01/2021,09:30,170.39
02/01/2021,10:00,144.0
02/01/2021,10:30,208.67000000000002
02/01/2021,11:00,204.62
02/01/2021,11:30,152.72
02/01/2021,12:00,204.24
02/01/2021,12:30,193.28
02/01/2021,13:00,191.04
02/01/2021,13:30,170.16
02/01/2021,14:00,143.87
02/01/2021,14:30,135.07999999999998
02/01/2021,15:00,122.02000000000001
02/01/2021,15:30,121.81
02/01/2021,16:00,121.95
02/01/2021,16:30,133.32
02/01/2021,17:00,148.07999999999998
02/01/2021,17:30,158.19
02/01/2021,18:00,157.56
02/01/2021,18:30,155.43
02/01/2021,19:00,161.21
02/01/2021,19:30,173.29
02/01/2021,20:00,166.53
02/01/2021,20:30,167.46
02/01/2021,21:00,173.93
02/01/2021,21:30,165.82
02/01/2021,22:00,157.6
02/01/2021,22:30,154.99
02/01/2021,23:00,151.09
02/01/2021,23:30,143.31
03/01/2021,00:00,126.19999999999999
03/01/2021,00:30,120.31
03/01/2021,01:00,116.03999999999999
03/01/2021,01:30,115.1
03/01/2021,02:00,112.52000000000001
03/01/2021,02:30,118.44
03/01/2021,03:00,124.85
03/01/2021,03:30,124.53
03/01/2021,04:00,121.17
03/01/2021,04:30,120.85
03/01/2021,05:00,126.23
03/01/2021,05:30,133.14
03/01/2021,06:00,133.61
03/01/2021,06:30,115.04
03/01/2021,07:00,121.8
03/01/2021,07:30,128.71
03/01/2021,08:00,133.99
03/01/2021,08:30,133.89
03/01/2021,09:00,152.21
03/01/2021,09:30,172.21
03/01/2021,10:00,188.87
03/01/2021,10:30,203.15
03/01/2021,11:00,206.73
03/01/2021,11:30,208.29000000000002
03/01/2021,12:00,202.95
03/01/2021,12:30,192.37
03/01/2021,13:00,178.66
03/01/2021,13:30,157.64
03/01/2021,14:00,142.28
03/01/2021,14:30,129.76999999999998
03/01/2021,15:00,129.0
03/01/2021,15:30,132.74
03/01/2021,16:00,121.2
03/01/2021,16:30,126.61
03/01/2021,17:00,145.45999999999998
03/01/2021,17:30,149.05
03/01/2021,18:00,151.76999999999998
03/01/2021,18:30,162.73000000000002
03/01/2021,19:00,168.83
03/01/2021,19:30,170.29000000000002
03/01/2021,20:00,162.82999999999998
03/01/2021,20:30,161.05
03/01/2021,21:00,164.83999999999997
03/01/2021,21:30,153.39
03/01/2021,22:00,142.73000000000002
03/01/2021,22:30,135.45999999999998
03/01/2021,23:00,137.09
03/01/2021,23:30,129.82
04/01/2021,00:00,121.06
04/01/2021,00:30,117.69999999999999
04/01/2021,01:00,111.96000000000001
04/01/2021,01:30,107.92
04/01/2021,02:00,114.25
04/01/2021,02:30,118.38
04/01/2021,03:00,120.22
04/01/2021,03:30,122.32
04/01/2021,04:00,122.02
04/01/2021,04:30,128.66
04/01/2021,05:00,137.23
04/01/2021,05:30,137.7
04/01/2021,06:00,132.38
04/01/2021,06:30,118.78999999999999
04/01/2021,07:00,113.97
04/01/2021,07:30,117.4
04/01/2021,08:00,126.69
04/01/2021,08:30,130.0
04/01/2021,09:00,158.57
04/01/2021,09:30,180.99
04/01/2021,10:00,196.61
04/01/2021,10:30,208.32
04/01/2021,11:00,211.48
04/01/2021,11:30,215.34
04/01/2021,12:00,213.03
04/01/2021,12:30,201.34
04/01/2021,13:00,182.91
04/01/2021,13:30,162.74
04/01/2021,14:00,139.82
04/01/2021,14:30,136.2
04/01/2021,15:00,130.88
04/01/2021,15:30,122.09
04/01/2021,16:00,121.62
04/01/2021,16:30,118.0
04/01/2021,17:00,143.45
04/01/2021,17:30,153.61
04/01/2021,18:00,158.32
04/01/2021,18:30,161.54000000000002
04/01/2021,19:00,165.88
04/01/2021,19:30,169.37
04/01/2021,20:00,167.42
04/01/2021,20:30,164.95
04/01/2021,21:00,164.82
04/01/2021,21:30,158.29000000000002
04/01/2021,22:00,146.87
04/01/2021,22:30,143.55
04/01/2021,23:00,131.9
04/01/2021,23:30,137.76
05/01/2021,00:00,135.25
05/01/2021,00:30,138.96
05/01/2021,01:00,124.41999999999999
05/01/2021,01:30,113.69999999999999
05/01/2021,02:00,117.85
05/01/2021,02:30,122.42
05/01/2021,03:00,128.57
05/01/2021,03:30,128.92000000000002
05/01/2021,04:00,130.23000000000002
05/01/2021,04:30,136.68
05/01/2021,05:00,137.43
05/01/2021,05:30,137.29000000000002
05/01/2021,06:00,127.83000000000001
05/01/2021,06:30,107.22999999999999
05/01/2021,07:00,107.11
05/01/2021,07:30,117.16
05/01/2021,08:00,120.55000000000001
05/01/2021,08:30,127.74000000000001
05/01/2021,09:00,151.15
05/01/2021,09:30,172.23000000000002
05/01/2021,10:00,189.65
05/01/2021,10:30,198.2
05/01/2021,11:00,203.07999999999998
05/01/2021,11:30,205.64
05/01/2021,12:00,208.67000000000002
05/01/2021,12:30,192.99
05/01/2021,13:00,180.93
05/01/2021,13:30,159.85
05/01/2021,14:00,146.01
05/01/2021,14:30,134.28
05/01/2021,15:00,123.84
05/01/2021,15:30,124.46000000000001
05/01/2021,16:00,127.44
05/01/2021,16:30,123.3
05/01/2021,17:00,143.48000000000002
05/01/2021,17:30,153.14
05/01/2021,18:00,159.7
05/01/2021,18:30,161.45
05/01/2021,19:00,167.68
05/01/2021,19:30,172.95
05/01/2021,20:00,173.7
05/01/2021,20:30,163.49
05/01/2021,21:00,168.12
05/01/2021,21:30,160.99
05/01/2021,22:00,147.68
05/01/2021,22:30,131.09
05/01/2021,23:00,127.12
05/01/2021,23:30,125.94
06/01/2021,00:00,121.44999999999999
06/01/2021,00:30,118.09
06/01/2021,01:00,116.66999999999999
06/01/2021,01:30,113.56
06/01/2021,02:00,116.14
06/01/2021,02:30,118.44999999999999
06/01/2021,03:00,119.22999999999999
06/01/2021,03:30,129.8
06/01/2021,04:00,136.07999999999998
06/01/2021,04:30,138.49
06/01/2021,05:00,134.67000000000002
06/01/2021,05:30,133.89
06/01/2021,06:00,135.86
06/01/2021,06:30,124.64
06/01/2021,07:00,114.34
06/01/2021,07:30,115.16
06/01/2021,08:00,120.03
06/01/2021,08:30,133.26
06/01/2021,09:00,163.72
06/01/2021,09:30,184.75
06/01/2021,10:00,201.82
06/01/2021,10:30,214.48000000000002
06/01/2021,11:00,219.18
06/01/2021,11:30,218.47
06/01/2021,12:00,223.55
06/01/2021,12:30,170.59
06/01/2021,13:00,157.99
06/01/2021,13:30,155.43
06/01/2021,14:00,139.13
06/01/2021,14:30,129.57999999999998
06/01/2021,15:00,121.03
06/01/2021,15:30,119.34
06/01/2021,16:00,116.6
06/01/2021,16:30,125.54
06/01/2021,17:00,143.59
06/01/2021,17:30,149.67000000000002
06/01/2021,18:00,152.61
06/01/2021,18:30,157.95
06/01/2021,19:00,164.38
06/01/2021,19:30,165.47
06/01/2021,20:00,159.39
06/01/2021,20:30,151.78
06/01/2021,21:00,160.43
06/01/2021,21:30,155.01999999999998
06/01/2021,22:00,147.29
06/01/2021,22:30,139.23000000000002
06/01/2021,23:00,129.54000000000002
06/01/2021,23:30,125.53
07/01/2021,00:00,113.14
07/01/2021,00:30,117.25999999999999
07/01/2021,01:00,113.55
07/01/2021,01:30,112.01
07/01/2021,02:00,109.80000000000001
07/01/2021,02:30,119.86
07/01/2021,03:00,128.01
07/01/2021,03:30,128.83
07/01/2021,04:00,128.72
07/01/2021,04:30,134.15
07/01/2021,05:00,133.44
07/01/2021,05:30,132.06
07/01/2021,06:00,129.04
07/01/2021,06:30,113.33
07/01/2021,07:00,115.96000000000001
07/01/2021,07:30,130.94
07/01/2021,08:00,119.57
07/01/2021,08:30,136.42
07/01/2021,09:00,161.38
07/01/2021,09:30,182.44
07/01/2021,10:00,198.54
07/01/2021,10:30,212.39999999999998
07/01/2021,11:00,215.16
07/01/2021,11:30,215.0
07/01/2021,12:00,212.21
07/01/2021,12:30,202.09
07/01/2021,13:00,186.78
07/01/2021,13:30,166.44
07/01/2021,14:00,143.18
07/01/2021,14:30,127.86
07/01/2021,15:00,125.46
07/01/2021,15:30,118.61
07/01/2021,16:00,114.33
07/01/2021,16:30,121.19
07/01/2021,17:00,140.43
07/01/2021,17:30,150.63
07/01/2021,18:00,148.14999999999998
07/01/2021,18:30,150.7
07/01/2021,19:00,161.49
07/01/2021,19:30,166.89
07/01/2021,20:00,164.89
07/01/2021,20:30,166.4
07/01/2021,21:00,160.62
07/01/2021,21:30,159.01999999999998
07/01/2021,22:00,142.85000000000002
07/01/2021,22:30,132.28
07/01/2021,23:00,128.94
07/01/2021,23:30,126.18
08/01/2021,00:00,123.06
08/01/2021,00:30,119.43
08/01/2021,01:00,117.44
08/01/2021,01:30,112.72
08/01/2021,02:00,114.5
08/01/2021,02:30,123.21000000000001
08/01/2021,03:00,129.4
08/01/2021,03:30,132.19
08/01/2021,04:00,129.9
08/01/2021,04:30,135.79000000000002
08/01/2021,05:00,124.34
08/01/2021,05:30,131.57
08/01/2021,06:00,124.36
08/01/2021,06:30,102.16
08/01/2021,07:00,98.02000000000001
08/01/2021,07:30,109.19
08/01/2021,08:00,117.27
08/01/2021,08:30,146.1
08/01/2021,09:00,176.0
08/01/2021,09:30,198.95999999999998
08/01/2021,10:00,215.09
08/01/2021,10:30,225.89
08/01/2021,11:00,233.32999999999998
08/01/2021,11:30,234.43
08/01/2021,12:00,231.61
08/01/2021,12:30,220.19
08/01/2021,13:00,209.55
08/01/2021,13:30,182.92000000000002
08/01/2021,14:00,157.94
08/01/2021,14:30,126.13
08/01/2021,15:00,118.50999999999999
08/01/2021,15:30,111.72
08/01/2021,16:00,107.72999999999999
08/01/2021,16:30,118.21000000000001
08/01/2021,17:00,142.56
08/01/2021,17:30,156.21
08/01/2021,18:00,163.70999999999998
08/01/2021,18:30,160.72
08/01/2021,19:00,160.51999999999998
08/01/2021,19:30,155.64
08/01/2021,20:00,158.65
08/01/2021,20:30,157.2
08/01/2021,21:00,159.76999999999998
08/01/2021,21:30,156.18
08/01/2021,22:00,144.07999999999998
08/01/2021,22:30,136.24
08/01/2021,23:00,135.03
08/01/2021,23:30,130.45
09/01/2021,00:00,124.44
09/01/2021,00:30,123.28
09/01/2021,01:00,120.57
09/01/2021,01:30,118.0
09/01/2021,02:00,116.36
09/01/2021,02:30,122.61
09/01/2021,03:00,128.17
09/01/2021,03:30,132.44
09/01/2021,04:00,132.34
09/01/2021,04:30,135.03
09/01/2021,05:00,134.65
09/01/2021,05:30,134.48000000000002
09/01/2021,06:00,137.37
