date,hour,kWh_amount
01/01/2022,00:00:00,593.0
01/01/2022,00:30:00,593.0
01/01/2022,01:00:00,542.0
01/01/2022,01:30:00,546.0
01/01/2022,02:00:00,516.0
01/01/2022,02:30:00,483.0
01/01/2022,03:00:00,472.0
01/01/2022,03:30:00,466.0
01/01/2022,04:00:00,478.0
01/01/2022,04:30:00,475.0
01/01/2022,05:00:00,473.0
01/01/2022,05:30:00,473.0
01/01/2022,06:00:00,542.0
01/01/2022,06:30:00,524.0
01/01/2022,07:00:00,509.0
01/01/2022,07:30:00,535.0
01/01/2022,08:00:00,574.0
01/01/2022,08:30:00,598.0
01/01/2022,09:00:00,764.0
01/01/2022,09:30:00,798.0
01/01/2022,10:00:00,863.0
01/01/2022,10:30:00,868.0
01/01/2022,11:00:00,865.0
01/01/2022,11:30:00,862.0
01/01/2022,12:00:00,863.0
01/01/2022,12:30:00,868.0
01/01/2022,13:00:00,859.0
01/01/2022,13:30:00,874.0
01/01/2022,14:00:00,859.0
01/01/2022,14:30:00,870.0
01/01/2022,15:00:00,877.0
01/01/2022,15:30:00,878.0
01/01/2022,16:00:00,948.0
01/01/2022,16:30:00,956.0
01/01/2022,17:00:00,1036.0
01/01/2022,17:30:00,1233.0
01/01/2022,18:00:00,1499.0
01/01/2022,18:30:00,1633.0
01/01/2022,19:00:00,1702.0
01/01/2022,19:30:00,1716.0
01/01/2022,20:00:00,1737.0
01/01/2022,20:30:00,1760.0
01/01/2022,21:00:00,1755.0
01/01/2022,21:30:00,1729.0
01/01/2022,22:00:00,1605.0
01/01/2022,22:30:00,1256.0
01/01/2022,23:00:00,908.0
01/01/2022,23:30:00,781.0
02/01/2022,00:00:00,558.0
02/01/2022,00:30:00,533.0
02/01/2022,01:00:00,503.0
02/01/2022,01:30:00,500.0
02/01/2022,02:00:00,491.0
02/01/2022,02:30:00,489.0
02/01/2022,03:00:00,478.0
02/01/2022,03:30:00,475.0
02/01/2022,04:00:00,474.0
02/01/2022,04:30:00,483.0
02/01/2022,05:00:00,496.0
02/01/2022,05:30:00,524.0
02/01/2022,06:00:00,864.0
02/01/2022,06:30:00,924.0
02/01/2022,07:00:00,994.0
02/01/2022,07:30:00,1124.0
02/01/2022,08:00:00,1302.0
02/01/2022,08:30:00,1406.0
02/01/2022,09:00:00,1540.0
02/01/2022,09:30:00,1703.0
02/01/2022,10:00:00,1795.0
02/01/2022,10:30:00,1806.0
02/01/2022,11:00:00,1806.0
02/01/2022,11:30:00,1814.0
02/01/2022,12:00:00,1822.0
02/01/2022,12:30:00,1846.0
02/01/2022,13:00:00,1876.0
02/01/2022,13:30:00,1896.0
02/01/2022,14:00:00,1899.0
02/01/2022,14:30:00,1898.0
02/01/2022,15:00:00,1923.0
02/01/2022,15:30:00,1927.0
02/01/2022,16:00:00,1935.0
02/01/2022,16:30:00,1930.0
02/01/2022,17:00:00,1923.0
02/01/2022,17:30:00,1941.0
02/01/2022,18:00:00,1955.0
02/01/2022,18:30:00,1921.0
02/01/2022,19:00:00,1923.0
02/01/2022,19:30:00,1914.0
02/01/2022,20:00:00,1985.0
02/01/2022,20:30:00,2082.0
02/01/2022,21:00:00,1688.0
02/01/2022,21:30:00,1430.0
02/01/2022,22:00:00,998.0
02/01/2022,22:30:00,808.0
02/01/2022,23:00:00,652.0
02/01/2022,23:30:00,619.0
03/01/2022,00:00:00,602.0
03/01/2022,00:30:00,605.0
03/01/2022,01:00:00,592.0
03/01/2022,01:30:00,608.0
03/01/2022,02:00:00,600.0
03/01/2022,02:30:00,595.0
03/01/2022,03:00:00,585.0
03/01/2022,03:30:00,582.0
03/01/2022,04:00:00,601.0
03/01/2022,04:30:00,595.0
03/01/2022,05:00:00,607.0
03/01/2022,05:30:00,649.0
03/01/2022,06:00:00,970.0
03/01/2022,06:30:00,985.0
03/01/2022,07:00:00,1071.0
03/01/2022,07:30:00,1240.0
03/01/2022,08:00:00,1444.0
03/01/2022,08:30:00,1660.0
03/01/2022,09:00:00,1703.0
03/01/2022,09:30:00,1849.0
03/01/2022,10:00:00,1980.0
03/01/2022,10:30:00,1940.0
03/01/2022,11:00:00,1952.0
03/01/2022,11:30:00,1948.0
03/01/2022,12:00:00,1936.0
03/01/2022,12:30:00,1913.0
03/01/2022,13:00:00,1921.0
03/01/2022,13:30:00,1944.0
03/01/2022,14:00:00,1980.0
