date,hour,cost(₪/MWh),renew_eng_prod(MW),conven_prod(MW),eco_demand(MW)
01/01/2021,00:00,157.05,4.0,7002.0,7006.0
01/01/2021,00:30,157.13,5.0,6682.0,6687.0
01/01/2021,01:00,157.13,4.0,6395.0,6399.0
01/01/2021,01:30,157.35,4.0,6147.0,6151.0
01/01/2021,02:00,157.24,3.0,5931.0,5934.0
01/01/2021,02:30,157.24,1.0,5768.0,5769.0
01/01/2021,03:00,157.01,1.0,5622.0,5623.0
01/01/2021,03:30,157.01,2.0,5565.0,5567.0
01/01/2021,04:00,157.12,2.0,5537.0,5539.0
01/01/2021,04:30,157.18,1.0,5601.0,5602.0
01/01/2021,05:00,157.1,2.0,5694.0,5696.0
01/01/2021,05:30,157.25,2.0,5870.0,5872.0
01/01/2021,06:00,157.08,2.0,5993.0,5995.0
01/01/2021,06:30,157.24,2.0,6049.0,6051.0
01/01/2021,07:00,159.16,1.0,6099.0,6100.0
01/01/2021,07:30,158.79,129.0,6211.0,6340.0
01/01/2021,08:00,158.42,338.0,6202.0,6540.0
01/01/2021,08:30,157.19,600.0,6136.0,6736.0
01/01/2021,09:00,157.08,874.0,5992.0,6866.0
01/01/2021,09:30,157.17,1137.0,5880.0,7017.0
01/01/2021,10:00,157.18,1297.0,5818.0,7115.0
01/01/2021,10:30,157.18,1396.0,5790.0,7186.0
01/01/2021,11:00,157.75,1478.0,5776.0,7254.0
01/01/2021,11:30,158.12,1468.0,5805.0,7273.0
01/01/2021,12:00,158.19,1497.0,5796.0,7293.0
01/01/2021,12:30,158.02,1478.0,5794.0,7272.0
01/01/2021,13:00,158.55,1429.0,5849.0,7278.0
01/01/2021,13:30,158.92,1360.0,5955.0,7315.0
01/01/2021,14:00,159.31,1234.0,6125.0,7359.0
01/01/2021,14:30,159.91,1059.0,6386.0,7445.0
01/01/2021,15:00,171.79,834.0,6719.0,7553.0
01/01/2021,15:30,167.78,553.0,7177.0,7730.0
01/01/2021,16:00,165.49,289.0,7503.0,7792.0
01/01/2021,16:30,213.84,55.0,7673.0,7728.0
01/01/2021,17:00,207.07,0.0,8091.0,8091.0
01/01/2021,17:30,196.21,0.0,8453.0,8453.0
01/01/2021,18:00,196.21,0.0,8528.0,8528.0
01/01/2021,18:30,196.21,0.0,8498.0,8498.0
01/01/2021,19:00,196.21,0.0,8365.0,8365.0
01/01/2021,19:30,167.39,0.0,8219.0,8219.0
01/01/2021,20:00,167.46,0.0,8027.0,8027.0
01/01/2021,20:30,167.46,0.0,7984.0,7984.0
01/01/2021,21:00,167.46,0.0,7850.0,7850.0
01/01/2021,21:30,167.46,0.0,7706.0,7706.0
01/01/2021,22:00,177.27,0.0,7485.0,7485.0
01/01/2021,22:30,159.36,0.0,7298.0,7298.0
01/01/2021,23:00,157.27,0.0,7035.0,7035.0
01/01/2021,23:30,157.2,0.0,6765.0,6765.0
02/01/2021,00:00,157.06,0.0,6473.0,6473.0
02/01/2021,00:30,157.03,0.0,6197.0,6197.0
02/01/2021,01:00,157.02,1.0,5976.0,5977.0
02/01/2021,01:30,156.99,1.0,5779.0,5780.0
02/01/2021,02:00,157.24,1.0,5623.0,5624.0
02/01/2021,02:30,157.06,1.0,5526.0,5527.0
02/01/2021,03:00,157.24,2.0,5418.0,5420.0
02/01/2021,03:30,157.24,2.0,5390.0,5392.0
