date,hour,smp_const,smp_no_const,is_weekday,is_peak_time
01/01/2021,00:00,117.24,113.8,0,0
01/01/2021,00:30,114.1,112.7,0,0
01/01/2021,01:00,111.19,111.19,0,0
01/01/2021,01:30,100.81,100.81,0,0
01/01/2021,02:00,110.02,110.02,0,0
01/01/2021,02:30,105.97,106.54,0,0
01/01/2021,03:00,105.67,106.38,0,0
01/01/2021,03:30,105.41,106.22,0,0
01/01/2021,04:00,107.21,107.21,0,0
01/01/2021,04:30,110.02,110.02,0,0
01/01/2021,05:00,108.97,111.36,0,0
01/01/2021,05:30,112.02,112.6,0,0
01/01/2021,06:00,112.08,113.62,0,0
01/01/2021,06:30,117.02,117.02,0,0
01/01/2021,07:00,117.02,117.02,0,0
01/01/2021,07:30,117.02,117.02,0,0
01/01/2021,08:00,114.54,116.63,0,0
01/01/2021,08:30,112.75,113.91,0,0
01/01/2021,09:00,112.07,113.31,0,0
01/01/2021,09:30,107,110.5,0,0
01/01/2021,10:00,110.76,109.56,0,0
01/01/2021,10:30,110.71,109.39,0,0
01/01/2021,11:00,108.04,110.84,0,0
01/01/2021,11:30,109.64,109.42,0,0
01/01/2021,12:00,110.8,110.63,0,0
01/01/2021,12:30,111.41,111.02,0,0
01/01/2021,13:00,110.94,111.07,0,0
01/01/2021,13:30,112.58,112.66,0,0
01/01/2021,14:00,115.02,110.97,0,0
01/01/2021,14:30,114.91,113.25,0,0
01/01/2021,15:00,121.22,114.98,0,0
01/01/2021,15:30,117.33,115.1,0,0
01/01/2021,16:00,125.02,120.84,0,0
01/01/2021,16:30,114.86,146.4,0,0
01/01/2021,17:00,126.41,159.9,0,1
01/01/2021,17:30,164.78,164.78,0,1
01/01/2021,18:00,149.08,149.08,0,1
01/01/2021,18:30,114.01,149.08,0,1
01/01/2021,19:00,126.41,126.4,0,1
01/01/2021,19:30,114.42,115.31,0,1
01/01/2021,20:00,126.4,149.08,0,1
01/01/2021,20:30,159.9,159.9,0,1
01/01/2021,21:00,159.9,159.9,0,1
01/01/2021,21:30,135,126.9,0,1
01/01/2021,22:00,125.02,125.02,0,0
01/01/2021,22:30,118.94,105,0,0
01/01/2021,23:00,113.88,109,0,0
01/01/2021,23:30,111.7,112.65,0,0
02/01/2021,00:00,111.79,111.79,0,0
02/01/2021,00:30,105,105,0,0
02/01/2021,01:00,105,105,0,0
02/01/2021,01:30,109.77,109.77,0,0
02/01/2021,02:00,106.58,106.58,0,0
02/01/2021,02:30,103.45,103.45,0,0
02/01/2021,03:00,102.65,102.65,0,0
02/01/2021,03:30,101.82,101.82,0,0
02/01/2021,04:00,106.17,106.17,0,0
02/01/2021,04:30,106.74,106.74,0,0
02/01/2021,05:00,109.85,109.85,0,0
